trainee_id,salary,retention_months,job_changes,district,course_category,qualification
TRN_MH_2026_1080,165843.76,20.0,0,Chhatrapati Sambhajinagar,Construction,12th Pass
TRN_MH_2026_1081,18749.89,14.7,1,Nashik,Construction,10th Pass
TRN_MH_2026_1082,22672.63,4.2,2,Gadchiroli,IT-ITeS,12th Pass
TRN_MH_2026_1083,15686.05,8.4,1,Nashik,Automotive,Graduate
TRN_MH_2026_1084,14670.27,13.1,0,Mumbai,Construction,10th Pass
TRN_MH_2026_1085,15743.85,15.5,2,Chhatrapati Sambhajinagar,Electronics and Hardware,12th Pass
TRN_MH_2026_1086,20703.91,13.7,0,Chhatrapati Sambhajinagar,Construction,ITI Diploma
TRN_MH_2026_1087,18650.63,20.1,0,Nashik,IT-ITeS,12th Pass
TRN_MH_2026_1088,15645.84,4.2,0,Mumbai,Apparel,Graduate
TRN_MH_2026_1089,19296.44,14.7,1,Pune,Automotive,10th Pass
TRN_MH_2026_1090,17839.77,4.9,1,Pune,Construction,12th Pass
TRN_MH_2026_1091,20890.26,17.8,0,Nagpur,Apparel,Below 10th
TRN_MH_2026_1092,15042.81,13.5,0,Amravati,Construction,Graduate
TRN_MH_2026_1093,16353.18,16.1,0,Nagpur,Healthcare,Graduate
TRN_MH_2026_1094,16127.62,9.7,0,Thane,Automotive,Below 10th
TRN_MH_2026_1095,12377.7,20.4,2,Mumbai,Electronics and Hardware,Graduate
TRN_MH_2026_1096,18536.42,19.2,1,Thane,Apparel,Below 10th
TRN_MH_2026_1097,18413.69,16.9,1,Nagpur,Automotive,12th Pass
TRN_MH_2026_1098,17517.9,13.4,2,Gadchiroli,Construction,ITI Diploma
TRN_MH_2026_1099,16678.95,16.9,1,Chhatrapati Sambhajinagar,IT-ITeS,Below 10th
TRN_MH_2026_1100,12546.2,10.5,1,Nashik,Electronics and Hardware,Below 10th
TRN_MH_2026_1101,16027.74,18.3,0,Nagpur,Healthcare,Graduate
TRN_MH_2026_1102,16300.5,22.2,0,Mumbai,Apparel,Below 10th
TRN_MH_2026_1103,14692.03,19.4,2,Nashik,Construction,Below 10th
TRN_MH_2026_1104,16935.5,10.4,1,Solapur,Electronics and Hardware,12th Pass
TRN_MH_2026_1105,18914.18,15.8,0,Nashik,Construction,12th Pass
TRN_MH_2026_1106,183906.27,7.5,0,Solapur,Construction,Graduate
TRN_MH_2026_1107,18111.02,16.9,0,Nashik,Electronics and Hardware,12th Pass
TRN_MH_2026_1108,,16.3,0,Gadchiroli,IT-ITeS,Below 10th
TRN_MH_2026_1109,17239.44,4.7,1,Chhatrapati Sambhajinagar,Electronics and Hardware,10th Pass
TRN_MH_2026_1110,10784.3,8.2,0,Nashik,IT-ITeS,12th Pass
TRN_MH_2026_1111,17407.2,12.6,0,Chhatrapati Sambhajinagar,Electronics and Hardware,Below 10th
TRN_MH_2026_1112,17710.81,12.5,2,Thane,Electronics and Hardware,10th Pass
TRN_MH_2026_1113,26121.35,8.0,0,Pune,Electronics and Hardware,Below 10th
TRN_MH_2026_1114,16826.74,15.9,0,Amravati,Healthcare,Below 10th
TRN_MH_2026_1115,18555.42,15.3,0,Nashik,Healthcare,10th Pass
TRN_MH_2026_1116,17378.51,13.0,0,Pune,Automotive,Graduate
TRN_MH_2026_1117,13409.63,10.2,0,Pune,Electronics and Hardware,10th Pass
TRN_MH_2026_1118,21499.88,19.2,0,Gadchiroli,Healthcare,10th Pass
TRN_MH_2026_1119,131925.51,22.3,1,Pune,IT-ITeS,Below 10th
TRN_MH_2026_1120,20268.61,11.6,3,Nashik,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1121,14317.14,10.9,0,Mumbai,IT-ITeS,Graduate
TRN_MH_2026_1122,22409.78,16.5,0,Nagpur,Construction,Below 10th
TRN_MH_2026_1123,200269.43,12.2,1,Pune,Apparel,12th Pass
TRN_MH_2026_1124,19554.0,13.3,2,Solapur,Construction,Graduate
TRN_MH_2026_1125,25166.59,17.7,1,Mumbai,Construction,12th Pass
TRN_MH_2026_1126,14033.12,4.5,0,Solapur,Automotive,12th Pass
TRN_MH_2026_1127,235110.13,20.6,0,Pune,Construction,ITI Diploma
TRN_MH_2026_1128,17848.78,14.4,0,Solapur,Construction,10th Pass
TRN_MH_2026_1129,15737.84,11.9,1,Amravati,Automotive,Below 10th
TRN_MH_2026_1130,12072.68,13.6,1,Amravati,Construction,12th Pass
TRN_MH_2026_1131,17739.97,13.8,1,Nagpur,Electronics and Hardware,Below 10th
TRN_MH_2026_1132,13781.94,0.5,9,Nashik,Construction,12th Pass
TRN_MH_2026_1133,19157.57,21.5,0,Nagpur,Healthcare,12th Pass
TRN_MH_2026_1134,14282.02,14.2,1,Pune,IT-ITeS,10th Pass
TRN_MH_2026_1135,119612.15,16.2,2,Nagpur,Healthcare,10th Pass
TRN_MH_2026_1136,14758.61,18.8,0,Pune,Automotive,ITI Diploma
TRN_MH_2026_1137,16372.78,8.9,0,Chhatrapati Sambhajinagar,Healthcare,Graduate
TRN_MH_2026_1138,20347.31,16.4,0,Gadchiroli,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1139,13191.97,,2,Thane,Automotive,Graduate
TRN_MH_2026_1140,18296.11,18.2,1,Amravati,Apparel,12th Pass
TRN_MH_2026_1141,22075.0,3.4,0,Mumbai,Construction,10th Pass
TRN_MH_2026_1142,11873.81,13.5,0,Pune,Healthcare,12th Pass
TRN_MH_2026_1143,18146.22,,0,Solapur,Electronics and Hardware,10th Pass
TRN_MH_2026_1144,18409.59,16.2,0,Gadchiroli,Apparel,Below 10th
TRN_MH_2026_1145,,16.4,0,Solapur,Electronics and Hardware,Graduate
TRN_MH_2026_1146,13170.67,10.5,0,Gadchiroli,IT-ITeS,Below 10th
TRN_MH_2026_1147,12878.4,10.4,0,Chhatrapati Sambhajinagar,Construction,ITI Diploma
TRN_MH_2026_1148,,13.4,1,Nashik,Construction,10th Pass
TRN_MH_2026_1149,18539.45,9.5,1,Nashik,Apparel,Graduate
TRN_MH_2026_1150,18376.72,18.2,0,Thane,Apparel,ITI Diploma
TRN_MH_2026_1151,138641.92,12.2,0,Mumbai,Construction,10th Pass
TRN_MH_2026_1152,15119.91,1.0,0,Amravati,Healthcare,10th Pass
TRN_MH_2026_1153,18312.89,12.1,1,Gadchiroli,IT-ITeS,Graduate
TRN_MH_2026_1154,18525.75,8.8,2,Pune,IT-ITeS,10th Pass
TRN_MH_2026_1155,14999.77,5.8,1,Gadchiroli,Healthcare,Below 10th
TRN_MH_2026_1156,24030.21,7.8,0,Nashik,Electronics and Hardware,12th Pass
TRN_MH_2026_1157,19158.42,14.5,1,Chhatrapati Sambhajinagar,Healthcare,12th Pass
TRN_MH_2026_1158,13330.44,20.6,0,Gadchiroli,Healthcare,10th Pass
TRN_MH_2026_1159,19797.94,15.6,1,Amravati,Construction,Graduate
TRN_MH_2026_1160,14088.61,11.0,1,Solapur,Healthcare,10th Pass
TRN_MH_2026_1161,20254.8,16.3,1,Mumbai,IT-ITeS,Graduate
TRN_MH_2026_1162,21555.08,11.7,0,Amravati,Apparel,Below 10th
TRN_MH_2026_1163,14627.61,10.5,0,Chhatrapati Sambhajinagar,Apparel,10th Pass
TRN_MH_2026_1164,20871.82,8.2,0,Gadchiroli,Construction,Below 10th
TRN_MH_2026_1165,202713.73,5.2,0,Gadchiroli,Automotive,10th Pass
TRN_MH_2026_1166,20377.21,12.1,1,Amravati,Healthcare,Graduate
TRN_MH_2026_1167,24138.78,0.5,17,Nagpur,Electronics and Hardware,Below 10th
TRN_MH_2026_1168,16641.14,13.5,1,Nashik,Electronics and Hardware,10th Pass
TRN_MH_2026_1169,14861.92,11.9,1,Thane,Automotive,Below 10th
TRN_MH_2026_1170,14386.7,9.3,0,Gadchiroli,Construction,ITI Diploma
TRN_MH_2026_1171,14644.66,17.0,2,Thane,Electronics and Hardware,12th Pass
TRN_MH_2026_1172,17230.14,0.5,14,Pune,Healthcare,10th Pass
TRN_MH_2026_1173,18694.03,17.9,1,Thane,Apparel,ITI Diploma
TRN_MH_2026_1174,18468.42,9.0,1,Pune,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1175,20395.14,10.2,1,Nashik,Apparel,Graduate
TRN_MH_2026_1176,17545.51,6.7,1,Chhatrapati Sambhajinagar,Electronics and Hardware,Graduate
TRN_MH_2026_1177,22587.37,11.5,0,Solapur,Apparel,10th Pass
TRN_MH_2026_1178,16573.7,18.9,1,Nashik,Electronics and Hardware,Below 10th
TRN_MH_2026_1179,27020.59,16.6,0,Pune,IT-ITeS,10th Pass
TRN_MH_2026_1180,19689.84,18.9,0,Gadchiroli,IT-ITeS,10th Pass
TRN_MH_2026_1181,,16.6,1,Chhatrapati Sambhajinagar,Apparel,12th Pass
TRN_MH_2026_1182,234374.97,8.5,0,Thane,IT-ITeS,10th Pass
TRN_MH_2026_1183,19188.65,12.3,0,Pune,Electronics and Hardware,10th Pass
TRN_MH_2026_1184,16717.88,10.1,2,Chhatrapati Sambhajinagar,Healthcare,ITI Diploma
TRN_MH_2026_1185,19999.0,20.7,0,Mumbai,Healthcare,Graduate
TRN_MH_2026_1186,19156.33,8.0,1,Nashik,Automotive,10th Pass
TRN_MH_2026_1187,17245.1,18.5,3,Thane,Electronics and Hardware,10th Pass
TRN_MH_2026_1188,14536.22,18.5,2,Solapur,Construction,Below 10th
TRN_MH_2026_1189,12198.03,23.1,0,Nagpur,IT-ITeS,10th Pass
TRN_MH_2026_1190,15937.2,12.0,0,Mumbai,Electronics and Hardware,Below 10th
TRN_MH_2026_1191,20497.4,17.6,0,Nashik,Automotive,Below 10th
TRN_MH_2026_1192,18249.33,25.4,1,Gadchiroli,Electronics and Hardware,Below 10th
TRN_MH_2026_1193,13139.91,,0,Solapur,Construction,ITI Diploma
TRN_MH_2026_1194,18106.13,6.3,1,Nagpur,IT-ITeS,ITI Diploma
TRN_MH_2026_1195,18848.61,4.6,2,Thane,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1196,14406.5,17.6,0,Thane,IT-ITeS,Below 10th
TRN_MH_2026_1197,18038.04,4.6,0,Thane,Construction,Graduate
TRN_MH_2026_1198,17703.73,12.1,2,Pune,IT-ITeS,Graduate
TRN_MH_2026_1199,13499.6,16.2,0,Thane,Electronics and Hardware,Below 10th
TRN_MH_2026_1200,18752.26,14.9,1,Nagpur,Apparel,Graduate
TRN_MH_2026_1201,19462.75,16.1,1,Thane,Electronics and Hardware,12th Pass
TRN_MH_2026_1202,21290.68,15.1,2,Nashik,Healthcare,12th Pass
TRN_MH_2026_1203,21188.31,20.4,1,Pune,Apparel,10th Pass
TRN_MH_2026_1204,12678.16,9.2,0,Pune,Electronics and Hardware,Below 10th
TRN_MH_2026_1205,14217.61,10.6,1,Chhatrapati Sambhajinagar,IT-ITeS,Graduate
TRN_MH_2026_1206,19302.62,10.1,0,Amravati,Apparel,Graduate
TRN_MH_2026_1207,19298.25,18.2,1,Chhatrapati Sambhajinagar,Construction,Below 10th
TRN_MH_2026_1208,19302.67,18.5,0,Amravati,Electronics and Hardware,Below 10th
TRN_MH_2026_1209,30984.56,16.3,0,Nagpur,Electronics and Hardware,10th Pass
TRN_MH_2026_1210,19498.12,19.9,0,Thane,Healthcare,Below 10th
TRN_MH_2026_1211,21474.48,8.1,0,Chhatrapati Sambhajinagar,Construction,Graduate
TRN_MH_2026_1212,,22.3,3,Pune,Construction,10th Pass
TRN_MH_2026_1213,19779.87,21.6,2,Thane,Automotive,ITI Diploma
TRN_MH_2026_1214,16396.56,17.7,3,Solapur,Healthcare,Graduate
TRN_MH_2026_1215,20156.39,22.9,0,Pune,Construction,12th Pass
TRN_MH_2026_1216,,,0,Amravati,Automotive,Below 10th
TRN_MH_2026_1217,16671.13,11.4,1,Amravati,Healthcare,12th Pass
TRN_MH_2026_1218,15801.23,10.3,0,Thane,Construction,12th Pass
TRN_MH_2026_1219,,17.6,2,Thane,IT-ITeS,10th Pass
TRN_MH_2026_1220,25601.3,8.7,2,Pune,Automotive,ITI Diploma
TRN_MH_2026_1221,10964.57,17.8,0,Gadchiroli,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1222,19901.91,20.9,0,Gadchiroli,Electronics and Hardware,Below 10th
TRN_MH_2026_1223,11855.49,17.5,0,Thane,IT-ITeS,ITI Diploma
TRN_MH_2026_1224,15848.24,15.4,0,Nashik,Electronics and Hardware,10th Pass
TRN_MH_2026_1225,21311.33,0.5,14,Nagpur,Construction,12th Pass
TRN_MH_2026_1226,17724.98,9.8,0,Pune,Construction,12th Pass
TRN_MH_2026_1227,13727.89,20.2,1,Mumbai,Automotive,12th Pass
TRN_MH_2026_1228,14996.44,17.9,0,Chhatrapati Sambhajinagar,Healthcare,Below 10th
TRN_MH_2026_1229,19878.59,13.8,2,Solapur,Construction,Graduate
TRN_MH_2026_1230,14943.72,11.9,2,Pune,IT-ITeS,Graduate
TRN_MH_2026_1231,18257.61,3.9,1,Solapur,IT-ITeS,ITI Diploma
TRN_MH_2026_1232,17659.5,8.6,1,Gadchiroli,IT-ITeS,ITI Diploma
TRN_MH_2026_1233,15219.4,23.6,1,Chhatrapati Sambhajinagar,Electronics and Hardware,Graduate
TRN_MH_2026_1234,25003.8,0.5,9,Nagpur,Electronics and Hardware,Below 10th
TRN_MH_2026_1235,19718.72,14.9,2,Amravati,Healthcare,ITI Diploma
TRN_MH_2026_1236,10412.0,19.0,1,Pune,Construction,Graduate
TRN_MH_2026_1237,18152.59,7.7,1,Pune,Electronics and Hardware,12th Pass
TRN_MH_2026_1238,15183.75,14.9,2,Chhatrapati Sambhajinagar,Automotive,10th Pass
TRN_MH_2026_1239,20483.52,18.7,0,Nashik,Healthcare,12th Pass
TRN_MH_2026_1240,14726.18,14.1,0,Nashik,Apparel,Below 10th
TRN_MH_2026_1241,,28.3,1,Pune,Healthcare,Below 10th
TRN_MH_2026_1242,19267.46,5.7,1,Nashik,Healthcare,10th Pass
TRN_MH_2026_1243,20530.14,19.3,0,Chhatrapati Sambhajinagar,Electronics and Hardware,Graduate
TRN_MH_2026_1244,13298.96,13.1,1,Gadchiroli,Automotive,12th Pass
TRN_MH_2026_1245,,17.9,0,Nashik,Healthcare,ITI Diploma
TRN_MH_2026_1246,15837.69,16.2,1,Nagpur,Automotive,Graduate
TRN_MH_2026_1247,15213.35,10.3,0,Gadchiroli,Automotive,Below 10th
TRN_MH_2026_1248,23679.09,15.1,1,Thane,Construction,Graduate
TRN_MH_2026_1249,18917.44,4.7,2,Mumbai,Electronics and Hardware,12th Pass
TRN_MH_2026_1250,13086.91,,0,Thane,Construction,10th Pass
TRN_MH_2026_1251,20712.52,15.5,1,Gadchiroli,Construction,10th Pass
TRN_MH_2026_1252,24927.55,17.2,0,Pune,Healthcare,Below 10th
TRN_MH_2026_1253,21113.63,19.3,1,Gadchiroli,Construction,10th Pass
TRN_MH_2026_1254,12182.21,15.8,1,Nashik,Apparel,Below 10th
TRN_MH_2026_1255,15805.18,14.7,0,Nagpur,Construction,12th Pass
TRN_MH_2026_1256,21934.19,9.6,0,Pune,Apparel,Below 10th
TRN_MH_2026_1257,15023.16,10.4,3,Pune,IT-ITeS,Below 10th
TRN_MH_2026_1258,19053.37,19.9,0,Solapur,Apparel,ITI Diploma
TRN_MH_2026_1259,20211.22,21.2,0,Nagpur,Automotive,ITI Diploma
TRN_MH_2026_1260,14255.74,12.8,1,Amravati,Electronics and Hardware,ITI Diploma
TRN_MH_2026_1261,17291.66,14.2,1,Gadchiroli,Apparel,Graduate
TRN_MH_2026_1262,8000.0,9.5,1,Solapur,IT-ITeS,10th Pass
TRN_MH_2026_1263,13914.64,19.9,1,Solapur,Automotive,12th Pass
TRN_MH_2026_1264,16616.01,17.3,1,Nagpur,Healthcare,12th Pass
TRN_MH_2026_1265,13132.76,,0,Solapur,Automotive,12th Pass
TRN_MH_2026_1266,23213.44,9.6,1,Amravati,Healthcare,10th Pass
TRN_MH_2026_1267,12494.51,12.1,0,Chhatrapati Sambhajinagar,Automotive,Graduate
TRN_MH_2026_1268,15959.84,15.2,2,Pune,Automotive,10th Pass
TRN_MH_2026_1269,17957.59,17.2,0,Pune,Electronics and Hardware,Below 10th
TRN_MH_2026_1270,22544.46,12.9,1,Nashik,Electronics and Hardware,Below 10th
TRN_MH_2026_1271,12474.48,9.6,0,Gadchiroli,Healthcare,12th Pass
TRN_MH_2026_1272,21571.07,18.4,1,Solapur,Construction,ITI Diploma
TRN_MH_2026_1273,17535.82,17.6,0,Nagpur,Construction,ITI Diploma
TRN_MH_2026_1274,14064.72,9.4,0,Solapur,IT-ITeS,Below 10th
TRN_MH_2026_1275,,20.8,0,Nashik,Construction,12th Pass
TRN_MH_2026_1276,18196.71,19.9,2,Nagpur,Automotive,Graduate
TRN_MH_2026_1277,15399.24,14.7,1,Nagpur,Apparel,Below 10th
TRN_MH_2026_1278,17744.31,14.4,2,Amravati,IT-ITeS,Below 10th
TRN_MH_2026_1279,16151.4,,2,Nagpur,IT-ITeS,Graduate
TRN_MH_2026_1280,17897.31,9.7,1,Thane,Healthcare,10th Pass
TRN_MH_2026_1281,19817.46,14.2,0,Nagpur,IT-ITeS,12th Pass
TRN_MH_2026_1282,,3.2,0,Amravati,Apparel,12th Pass
TRN_MH_2026_1283,13167.65,18.4,3,Pune,Apparel,ITI Diploma
TRN_MH_2026_1284,24965.62,6.2,0,Mumbai,Automotive,Below 10th
TRN_MH_2026_1285,10667.69,0.5,17,Thane,Automotive,ITI Diploma
TRN_MH_2026_1286,16968.75,12.3,1,Chhatrapati Sambhajinagar,IT-ITeS,Below 10th
TRN_MH_2026_1287,19559.11,12.9,1,Nashik,Construction,10th Pass
TRN_MH_2026_1288,18483.47,10.9,0,Solapur,Construction,10th Pass
TRN_MH_2026_1289,15320.55,12.6,2,Amravati,Automotive,Below 10th
TRN_MH_2026_1290,16771.57,21.1,0,Nagpur,Construction,Graduate
TRN_MH_2026_1291,15774.5,1.6,1,Amravati,Automotive,ITI Diploma
TRN_MH_2026_1292,15437.22,20.4,0,Thane,Healthcare,Graduate
TRN_MH_2026_1293,20473.61,15.7,1,Chhatrapati Sambhajinagar,Healthcare,ITI Diploma
TRN_MH_2026_1294,18749.55,8.0,1,Pune,Automotive,ITI Diploma
TRN_MH_2026_1295,15074.82,8.6,1,Pune,Automotive,12th Pass
TRN_MH_2026_1296,20648.6,22.4,0,Pune,IT-ITeS,ITI Diploma
TRN_MH_2026_1297,18575.55,9.3,0,Thane,Electronics and Hardware,Below 10th
TRN_MH_2026_1298,20345.02,8.2,2,Gadchiroli,Automotive,Graduate
TRN_MH_2026_1299,19703.7,19.7,3,Solapur,Healthcare,12th Pass
TRN_MH_2026_1300,14598.52,15.7,1,Solapur,IT-ITeS,Graduate
TRN_MH_2026_1301,15539.37,9.3,0,Nashik,Construction,10th Pass
TRN_MH_2026_1302,20115.53,15.1,2,Pune,Electronics and Hardware,Below 10th
TRN_MH_2026_1303,19636.3,8.9,0,Thane,Apparel,Below 10th
TRN_MH_2026_1304,17426.84,19.5,2,Nagpur,Construction,Below 10th
TRN_MH_2026_1305,17910.65,19.3,1,Pune,Automotive,10th Pass
TRN_MH_2026_1306,21971.83,16.7,0,Gadchiroli,Healthcare,10th Pass
TRN_MH_2026_1307,15429.5,,1,Pune,Healthcare,Below 10th
TRN_MH_2026_1308,19414.84,22.8,0,Pune,Healthcare,10th Pass
TRN_MH_2026_1309,16792.33,14.0,1,Thane,Electronics and Hardware,10th Pass
TRN_MH_2026_1310,16738.12,8.1,0,Amravati,Apparel,10th Pass
TRN_MH_2026_1311,21345.72,16.2,2,Gadchiroli,IT-ITeS,ITI Diploma
TRN_MH_2026_1312,20388.96,,1,Mumbai,Construction,10th Pass
TRN_MH_2026_1313,20347.28,,0,Pune,Healthcare,Below 10th
TRN_MH_2026_1314,22069.18,12.2,2,Thane,Apparel,ITI Diploma
TRN_MH_2026_1315,17573.51,16.1,0,Thane,Automotive,Below 10th
TRN_MH_2026_1316,19886.84,13.7,1,Chhatrapati Sambhajinagar,Electronics and Hardware,Below 10th
TRN_MH_2026_1317,16414.07,,0,Amravati,Construction,12th Pass
TRN_MH_2026_1318,18634.58,19.6,0,Nashik,Construction,Graduate
TRN_MH_2026_1319,17044.5,25.6,1,Gadchiroli,IT-ITeS,12th Pass
TRN_MH_2026_1320,17839.49,15.0,0,Chhatrapati Sambhajinagar,Healthcare,12th Pass
TRN_MH_2026_1321,19583.05,9.5,2,Nashik,Electronics and Hardware,12th Pass
TRN_MH_2026_1322,14636.23,6.3,0,Pune,Electronics and Hardware,Below 10th
TRN_MH_2026_1323,24823.36,15.3,1,Thane,Apparel,ITI Diploma
TRN_MH_2026_1324,13978.94,19.5,0,Nashik,Apparel,Graduate
TRN_MH_2026_1325,13250.34,16.4,1,Gadchiroli,IT-ITeS,Graduate
TRN_MH_2026_1326,21553.39,14.0,0,Nagpur,Construction,12th Pass
